query_id	subject_id	identity	alignment_length	mismatches	gap_opens	q_start	q_end	s_start	s_end	evalue	bit_score
PATRIC_VF|EC042_4593	PATRIC_VF|EC042_pAA035	39.972	1421	678	38	1	1372	1	1295	0	855
PATRIC_VF|EC042_4593	VFDB|VFG000630	39.301	1402	704	33	1	1372	1	1285	0	833
PATRIC_VF|EC042_4593	PATRIC_VF|SF2968	39.301	1402	704	33	1	1372	1	1285	0	833
PATRIC_VF|EC042_4593	PATRIC_VF|E2348C_2915	46.447	971	426	19	456	1372	375	1305	0	777
PATRIC_VF|EC042_4593	PATRIC_VF|E2348C_2915	35.39	551	287	23	1	526	1	507	2.93e-60	224
PATRIC_VF|EC042_4593	VFDB|VFG000772	46.344	971	427	19	456	1372	375	1305	0	775
PATRIC_VF|EC042_4593	VFDB|VFG000772	35.39	551	287	23	1	526	1	507	2.81e-60	224
PATRIC_VF|EC042_4593	VFDB|VFG000902	47.847	813	359	10	604	1372	508	1299	0	707
PATRIC_VF|EC042_4593	VFDB|VFG000902	31.597	576	315	22	1	545	5	532	4.76e-47	182
PATRIC_VF|EC042_4593	PATRIC_VF|c3619	47.847	813	359	10	604	1372	508	1299	0	707
PATRIC_VF|EC042_4593	PATRIC_VF|c3619	31.597	576	315	22	1	545	5	532	4.76e-47	182
PATRIC_VF|EC042_4593	VFDB|VFG000844	46.634	817	367	11	604	1372	505	1300	0	683
PATRIC_VF|EC042_4593	VFDB|VFG000844	34.347	559	292	24	1	529	1	514	3.02e-54	205
PATRIC_VF|EC042_4593	PATRIC_VF|pO157p78	46.634	817	367	11	604	1372	505	1300	0	683
PATRIC_VF|EC042_4593	PATRIC_VF|pO157p78	34.347	559	292	24	1	529	1	514	3.02e-54	205
PATRIC_VF|EC042_4593	VFDB|VFG000261	33.905	817	433	31	44	774	14	809	1.61e-95	337
PATRIC_VF|EC042_4593	VFDB|VFG001149	40.219	547	255	17	27	519	1	529	3.22e-94	330
PATRIC_VF|EC042_4593	VFDB|VFG000337	31.673	783	420	27	45	725	15	784	1.34e-86	309
PATRIC_VF|EC042_4593	VFDB|VFG000862	28.884	914	480	35	1	867	1	791	1.12e-67	242
PATRIC_VF|CP0144	VFDB|VFG001003	100	210	0	0	1	210	1	210	6.96e-158	432
PATRIC_VF|CP0144	PATRIC_VF|CP0144	100	210	0	0	1	210	1	210	6.96e-158	432
PATRIC_VF|CP0144	VFDB|VFG000560	37.363	182	110	2	24	205	39	216	1.51e-30	109
PATRIC_VF|CP0144	PATRIC_VF|SL1344_2878	37.363	182	110	2	24	205	39	216	1.51e-30	109
PATRIC_VF|CP0144	PATRIC_VF|SFK1770_3584	98	50	1	0	161	210	1	50	3.02e-29	100
PATRIC_VF|CP0144	VFDB|VFG002464	40.164	122	71	1	72	193	87	206	4.7e-27	100
PATRIC_VF|Rv1788	PATRIC_VF|Rv1788	100	99	0	0	1	99	1	99	1.08e-62	182
PATRIC_VF|Rv1788	PATRIC_VF|Rv1791	88.506	87	10	0	1	87	1	87	7.38e-39	122
PATRIC_VF|Rv1168c	PATRIC_VF|Rv1168c	100	346	0	0	1	346	1	346	0	681
PATRIC_VF|Rv1168c	PATRIC_VF|MT1234	32.481	391	202	16	1	343	2	378	1.21e-30	117
PATRIC_VF|Rv1168c	VFDB|VFG002393	35.196	179	113	2	1	176	1	179	1.91e-27	104
PATRIC_VF|Rv1168c	PATRIC_VF|Rv1807	35.429	350	176	9	1	301	1	349	4.26e-26	104
PATRIC_VF|Rv1168c	PATRIC_VF|Rv1789	35.043	351	178	9	1	304	1	348	2.44e-25	102
PATRIC_VF|Rv1168c	PATRIC_VF|Rv1787	34.109	387	192	14	1	346	1	365	5.87e-25	101
PATRIC_VF|Rv1168c	PATRIC_VF|Rv1790	34.247	365	206	11	1	346	1	350	7.86e-25	100
PATRIC_VF|Rv1293	PATRIC_VF|Rv1293	100	447	0	0	1	447	1	447	0	900
PATRIC_VF|lmo0838	VFDB|VFG001089	100	461	0	0	1	461	1	461	0	929
PATRIC_VF|lmo0838	PATRIC_VF|lmo0838	100	461	0	0	1	461	1	461	0	929
PATRIC_VF|SDY_1022	PATRIC_VF|SDY_1022	100	725	0	0	1	725	1	725	0	1474
PATRIC_VF|SDY_1022	VFDB|VFG000935	99.034	725	7	0	1	725	1	725	0	1464
PATRIC_VF|SDY_1022	PATRIC_VF|APECO1_O1CoBM137	98.897	725	8	0	1	725	1	725	0	1461
PATRIC_VF|SDY_1022	VFDB|VFG000923	51.258	755	327	15	3	725	1	746	0	708
PATRIC_VF|SDY_1022	PATRIC_VF|STM14_0682	49.211	760	340	16	3	725	1	751	0	675
PATRIC_VF|SDY_1022	PATRIC_VF|STM474_0605	49.211	760	340	16	3	725	1	751	0	675
PATRIC_VF|lmo0201	VFDB|VFG000073	100	317	0	0	1	317	1	317	0	650
PATRIC_VF|lmo0201	PATRIC_VF|lmo0201	100	317	0	0	1	317	1	317	0	650
PATRIC_VF|lmo0201	PATRIC_VF|Lmon1_020100014071	97.792	317	7	0	1	317	1	317	0	636
PATRIC_VF|STM14_1686	PATRIC_VF|SL1344_1325	100	212	0	0	1	212	1	212	4.95e-159	435
PATRIC_VF|STM14_1686	PATRIC_VF|STM14_1686	100	212	0	0	1	212	1	212	4.95e-159	435
PATRIC_VF|STM14_1686	PATRIC_VF|lmo2515	31.019	216	133	1	5	204	4	219	9.3e-31	110
PATRIC_VF|STM14_1686	VFDB|VFG002440	32.212	208	137	3	2	206	6	212	3.67e-30	108
PATRIC_VF|STM14_1686	PATRIC_VF|SL1344_1877	29.557	203	141	1	6	206	4	206	2.86e-29	106
PATRIC_VF|STM14_1686	PATRIC_VF|Rv3133c	30	200	132	3	5	199	3	199	3.67e-28	103
PATRIC_VF|lmo1378	PATRIC_VF|lmo1378	100	483	0	0	1	483	1	483	0	994
PATRIC_VF|lmo1378	VFDB|VFG009810	26.542	373	225	9	135	479	119	470	3.95e-34	131
PATRIC_VF|lmo1378	PATRIC_VF|Rv0758	26.542	373	225	9	135	479	119	470	3.95e-34	131
PATRIC_VF|lmo1378	PATRIC_VF|Rv0490	33.184	223	147	2	257	478	158	379	8.11e-29	115
PATRIC_VF|c0393	VFDB|VFG000904	100	1376	0	0	1	1376	1	1376	0	2800
PATRIC_VF|c0393	PATRIC_VF|c0393	100	1376	0	0	1	1376	1	1376	0	2800
PATRIC_VF|c0393	PATRIC_VF|APECO1_O1CoBM73	78.814	1383	280	6	1	1376	1	1377	0	2179
PATRIC_VF|c0393	VFDB|VFG000903	49.071	1400	660	21	1	1376	1	1371	0	1273
PATRIC_VF|c0393	PATRIC_VF|EC042_4593	48.392	1399	672	21	1	1376	1	1372	0	1250
PATRIC_VF|c0393	PATRIC_VF|EC2720900_3581	43.45	1397	736	24	1	1376	1	1364	0	1055
PATRIC_VF|c0393	VFDB|VFG000635	48.529	1088	524	13	305	1376	3	1070	0	984
PATRIC_VF|c0393	PATRIC_VF|EC042_pAA035	35.504	1428	736	43	1	1376	1	1295	0	697
PATRIC_VF|c0393	VFDB|VFG000902	35.459	1427	738	41	1	1376	5	1299	0	681
PATRIC_VF|c0393	PATRIC_VF|c3619	35.459	1427	738	41	1	1376	5	1299	0	681
PATRIC_VF|c0393	PATRIC_VF|E2348C_2915	42.543	818	422	15	596	1376	499	1305	0	606
PATRIC_VF|c0393	PATRIC_VF|E2348C_2915	32.327	563	301	23	1	533	1	513	1.72e-49	190
PATRIC_VF|c0393	VFDB|VFG000772	42.421	818	423	15	596	1376	499	1305	0	605
PATRIC_VF|c0393	VFDB|VFG000772	32.327	563	301	23	1	533	1	513	1.62e-49	190
PATRIC_VF|c0393	VFDB|VFG000844	41.14	807	417	12	607	1376	515	1300	0	581
PATRIC_VF|c0393	VFDB|VFG000844	32.389	565	296	25	1	530	1	514	1.3e-41	164
PATRIC_VF|c0393	PATRIC_VF|pO157p78	41.14	807	417	12	607	1376	515	1300	0	581
PATRIC_VF|c0393	PATRIC_VF|pO157p78	32.389	565	296	25	1	530	1	514	1.3e-41	164
PATRIC_VF|c0393	VFDB|VFG000630	39.48	808	430	10	607	1376	499	1285	0	580
PATRIC_VF|c0393	VFDB|VFG000630	29.764	551	311	22	1	529	1	497	1.15e-38	154
PATRIC_VF|c0393	PATRIC_VF|SF2968	39.48	808	430	10	607	1376	499	1285	0	580
PATRIC_VF|c0393	PATRIC_VF|SF2968	29.764	551	311	22	1	529	1	497	1.15e-38	154
PATRIC_VF|c0393	VFDB|VFG000861	52.3	587	259	10	1	576	1	577	0	570
PATRIC_VF|c0393	VFDB|VFG001149	31.25	864	453	30	36	829	7	799	2.82e-88	312
PATRIC_VF|c0393	VFDB|VFG000337	32.911	790	415	28	42	733	12	784	4.37e-88	313
PATRIC_VF|c0393	VFDB|VFG000261	32.702	792	407	27	31	733	3	757	2.64e-87	311
PATRIC_VF|c0393	VFDB|VFG000862	27.784	925	485	41	1	874	1	793	1.96e-47	181
PATRIC_VF|lmo0438	VFDB|VFG032965	100	205	0	0	1	205	1	205	1.16e-147	406
PATRIC_VF|lmo0438	PATRIC_VF|lmo0438	100	205	0	0	1	205	1	205	1.16e-147	406
PATRIC_VF|Z0469	PATRIC_VF|Z0469	100	980	0	0	1	980	1	980	0	1941
PATRIC_VF|Z0469	PATRIC_VF|STM474_0388	62.899	1035	272	25	1	980	1	978	0	1087
PATRIC_VF|Z0469	VFDB|VFG046121	27.297	381	254	12	614	980	622	993	1.89e-24	107
PATRIC_VF|CP0137	VFDB|VFG000996	100	83	0	0	1	83	1	83	9.66e-58	169
PATRIC_VF|CP0137	PATRIC_VF|CP0137	100	83	0	0	1	83	1	83	9.66e-58	169
PATRIC_VF|CP0137	VFDB|VFG000535	70.833	72	21	0	12	83	9	80	2.37e-31	102
PATRIC_VF|CP0137	PATRIC_VF|SL1344_2853	70.833	72	21	0	12	83	9	80	2.37e-31	102
PATRIC_VF|CP0137	PATRIC_VF|STM2873	70.833	72	21	0	12	83	9	80	2.37e-31	102
PATRIC_VF|CP0137	PATRIC_VF|STM14_3472	70.833	72	21	0	12	83	9	80	2.37e-31	102
PATRIC_VF|STM14_3480	PATRIC_VF|STMUK_2870	100	82	0	0	1	82	1	82	5.47e-56	164
PATRIC_VF|STM14_3480	PATRIC_VF|STM2881	100	82	0	0	1	82	1	82	5.47e-56	164
PATRIC_VF|STM14_3480	PATRIC_VF|SL1344_2860	100	82	0	0	1	82	1	82	5.47e-56	164
PATRIC_VF|STM14_3480	PATRIC_VF|STM14_3480	100	82	0	0	1	82	1	82	5.47e-56	164
PATRIC_VF|Rv1818c	PATRIC_VF|Rv1818c	100	498	0	0	1	498	1	498	0	788
PATRIC_VF|Rv1539	PATRIC_VF|Rv1539	100	202	0	0	1	202	1	202	6.34e-142	391
PATRIC_VF|EC042_pAA010	PATRIC_VF|EC042_pAA010	100	209	0	0	1	209	1	209	1.02e-150	414
PATRIC_VF|Lmon1_020100010133	PATRIC_VF|Lmon1_020100010133	100	149	0	0	1	149	1	149	2.38e-111	310
PATRIC_VF|Rv0199	PATRIC_VF|Rv0199	100	219	0	0	1	219	1	219	2.85e-162	444
PATRIC_VF|BCG_1471c	PATRIC_VF|Rv1410c	100	518	0	0	1	518	1	518	0	1009
PATRIC_VF|BCG_1471c	PATRIC_VF|Mb1445c	100	518	0	0	1	518	1	518	0	1009
PATRIC_VF|BCG_1471c	PATRIC_VF|BCG_1471c	100	518	0	0	1	518	1	518	0	1009
PATRIC_VF|STM1404	VFDB|VFG000505	100	260	0	0	1	260	1	260	0	517
PATRIC_VF|STM1404	PATRIC_VF|SL1344_1338	100	260	0	0	1	260	1	260	0	517
PATRIC_VF|STM1404	PATRIC_VF|STM14_1700	100	260	0	0	1	260	1	260	0	517
PATRIC_VF|STM1404	PATRIC_VF|STM1404	100	260	0	0	1	260	1	260	0	517
PATRIC_VF|Btr_1691	PATRIC_VF|Btr_1691	100	784	0	0	1	784	1	784	0	1625
PATRIC_VF|Btr_1691	VFDB|VFG002233	90.306	784	76	0	1	784	1	784	0	1472
PATRIC_VF|Btr_1691	PATRIC_VF|BH13280	90.306	784	76	0	1	784	1	784	0	1472
PATRIC_VF|Btr_1691	VFDB|VFG002259	39.803	814	449	11	4	782	10	817	0	577
PATRIC_VF|Btr_1691	VFDB|VFG002211	38.882	805	453	13	13	782	20	820	0	546
PATRIC_VF|Btr_1691	VFDB|VFG000018	34.152	814	495	12	2	782	12	817	2.47e-164	494
PATRIC_VF|Btr_1691	VFDB|VFG000303	26.185	844	517	25	16	782	167	981	5.9e-67	237
PATRIC_VF|Btr_1691	VFDB|VFG001981	24.798	496	344	14	301	782	334	814	3.4e-31	128
PATRIC_VF|STM474_0413	PATRIC_VF|STM474_0413	100	400	0	0	1	400	1	400	0	823
PATRIC_VF|Lmon1_020100012015	PATRIC_VF|Lmon1_020100012015	100	580	0	0	1	580	1	580	0	1197
PATRIC_VF|SL1344_1335	VFDB|VFG000502	100	195	0	0	1	195	1	195	6.79e-141	388
PATRIC_VF|SL1344_1335	PATRIC_VF|STM1401	100	195	0	0	1	195	1	195	6.79e-141	388
PATRIC_VF|SL1344_1335	PATRIC_VF|STM14_1697	100	195	0	0	1	195	1	195	6.79e-141	388
PATRIC_VF|SL1344_1335	PATRIC_VF|SL1344_1335	100	195	0	0	1	195	1	195	6.79e-141	388
PATRIC_VF|BCG_2067c	PATRIC_VF|BCG_2067c	100	4151	0	0	1	4151	1	4151	0	8157
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv2048c	99.566	4151	18	0	1	4151	1	4151	0	8115
PATRIC_VF|BCG_2067c	PATRIC_VF|MRA_2063	99.566	4151	18	0	1	4151	1	4151	0	8114
PATRIC_VF|BCG_2067c	PATRIC_VF|MAV_2450	80.752	4177	770	10	1	4151	2	4170	0	6447
PATRIC_VF|BCG_2067c	PATRIC_VF|VBIMycTub147007_3262	59.789	2089	791	17	2028	4078	11	2088	0	2234
PATRIC_VF|BCG_2067c	PATRIC_VF|VBIMycTub147007_3262	55.253	2094	860	25	4	2040	9	2082	0	2014
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv1661	61.254	2057	754	23	10	2038	10	2051	0	2168
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv1661	55.38	2091	868	27	2026	4082	4	2063	0	1904
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv2946c	57.97	1606	640	13	2499	4078	1	1597	0	1625
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv2946c	52.02	1609	710	20	476	2040	1	1591	0	1398
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv0405	51.802	971	415	13	1982	2922	27	974	0	895
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv0405	41.3	954	495	18	1	925	75	992	0	602
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv2934	40.366	1147	635	19	34	1157	35	1155	0	666
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv2934	38.207	1149	653	24	2057	3177	36	1155	1.41e-180	607
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv2947c	68.062	454	141	3	4	455	16	467	0	619
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv2947c	67.92	452	142	2	2028	2478	18	467	0	610
PATRIC_VF|BCG_2067c	PATRIC_VF|MMAR_1767	39.346	1131	625	27	30	1126	1	1104	0	617
PATRIC_VF|BCG_2067c	PATRIC_VF|MMAR_1767	37.6	1125	646	25	2058	3147	7	1110	1.75e-165	566
PATRIC_VF|BCG_2067c	PATRIC_VF|MMAR_1767	33.293	817	460	22	3294	4066	1310	2085	6.09e-83	303
PATRIC_VF|BCG_2067c	PATRIC_VF|MMAR_1767	33.824	816	464	23	1265	2039	1310	2090	9.06e-81	296
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv1527c	37.967	1151	630	29	20	1126	4	1114	4.45e-175	596
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv1527c	36.332	1156	667	27	2046	3159	4	1132	1.46e-163	560
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv1527c	32.367	828	482	21	1236	2021	1292	2083	6.4e-71	264
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv1527c	32.479	819	438	24	3294	4053	1321	2083	6.56e-70	260
PATRIC_VF|BCG_2067c	PATRIC_VF|JTY_2948	37.197	1156	661	27	22	1146	92	1213	2.19e-173	586
PATRIC_VF|BCG_2067c	PATRIC_VF|JTY_2948	35.743	1231	720	27	1972	3166	18	1213	1.11e-171	581
PATRIC_VF|BCG_2067c	PATRIC_VF|JTY_2948	31.288	326	185	9	1728	2047	1551	1843	4.09e-26	116
PATRIC_VF|BCG_2067c	PATRIC_VF|JTY_2948	30.183	328	187	8	3758	4079	1551	1842	1.88e-23	107
PATRIC_VF|BCG_2067c	PATRIC_VF|ERDMAN_3222	39.134	1132	623	27	30	1126	1	1101	3.83e-172	587
PATRIC_VF|BCG_2067c	PATRIC_VF|ERDMAN_3222	37.913	1121	633	26	2058	3141	7	1101	1.12e-160	551
PATRIC_VF|BCG_2067c	PATRIC_VF|ERDMAN_3222	33.9	823	450	26	3294	4066	1318	2096	1.87e-88	321
PATRIC_VF|BCG_2067c	PATRIC_VF|ERDMAN_3222	34.356	815	454	24	1265	2034	1318	2096	1.42e-86	315
PATRIC_VF|BCG_2067c	VFDB|VFG002548	37.226	1139	637	24	37	1124	6	1117	5.46e-166	573
PATRIC_VF|BCG_2067c	VFDB|VFG002548	35.603	1160	659	30	2059	3158	6	1137	2.79e-152	530
PATRIC_VF|BCG_2067c	VFDB|VFG002548	34.231	891	501	22	1203	2034	1623	2487	1.04e-88	323
PATRIC_VF|BCG_2067c	VFDB|VFG002548	34.019	826	461	20	3294	4066	1693	2487	9.94e-83	303
PATRIC_VF|BCG_2067c	VFDB|VFG000362	36.623	912	516	23	2057	2937	27	907	4.34e-134	472
PATRIC_VF|BCG_2067c	VFDB|VFG000362	34.257	902	527	23	34	906	26	890	4.72e-119	423
PATRIC_VF|BCG_2067c	PATRIC_VF|MMAR_1772	35.523	898	538	19	2053	2921	3	888	2.24e-133	457
PATRIC_VF|BCG_2067c	PATRIC_VF|MMAR_1772	34.961	901	535	23	37	907	9	888	1.03e-122	424
PATRIC_VF|BCG_2067c	VFDB|VFG001823	46.911	437	227	3	34	467	4	438	2.04e-115	372
PATRIC_VF|BCG_2067c	VFDB|VFG001823	46.925	439	229	3	2054	2490	2	438	3.03e-112	363
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv2382c	46.911	437	227	3	34	467	4	438	2.04e-115	372
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv2382c	46.925	439	229	3	2054	2490	2	438	3.03e-112	363
PATRIC_VF|BCG_2067c	VFDB|VFG001822	33.756	394	242	6	521	899	60	449	5.51e-37	151
PATRIC_VF|BCG_2067c	VFDB|VFG001822	30	360	231	7	2544	2886	60	415	1.61e-24	110
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv2381c	33.756	394	242	6	521	899	60	449	5.51e-37	151
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv2381c	30	360	231	7	2544	2886	60	415	1.61e-24	110
PATRIC_VF|BCG_2067c	PATRIC_VF|MT2306	29.513	349	208	8	2147	2476	104	433	1.3e-22	101
PATRIC_VF|BCG_2067c	PATRIC_VF|MT2306	29.73	259	162	3	201	453	189	433	3.53e-22	100
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv2246	29.513	349	208	8	2147	2476	104	433	1.3e-22	101
PATRIC_VF|BCG_2067c	PATRIC_VF|Rv2246	29.73	259	162	3	201	453	189	433	3.53e-22	100
PATRIC_VF|SL1344_2874	VFDB|VFG000556	100	135	0	0	1	135	1	135	5e-99	277
PATRIC_VF|SL1344_2874	PATRIC_VF|STMUK_2884	100	135	0	0	1	135	1	135	5e-99	277
PATRIC_VF|SL1344_2874	PATRIC_VF|STM14_3494	100	135	0	0	1	135	1	135	5e-99	277
PATRIC_VF|SL1344_2874	PATRIC_VF|STM2895	100	135	0	0	1	135	1	135	5e-99	277
PATRIC_VF|SL1344_2874	PATRIC_VF|SL1344_2874	100	135	0	0	1	135	1	135	5e-99	277
PATRIC_VF|lmo1429	PATRIC_VF|lmo1429	100	186	0	0	1	186	1	186	1.84e-132	366
PATRIC_VF|Rv2224c	PATRIC_VF|Rv2224c	100	520	0	0	1	520	1	520	0	1062
PATRIC_VF|Rv2224c	PATRIC_VF|MT2282	100	507	0	0	14	520	1	507	0	1036
PATRIC_VF|Rv2224c	PATRIC_VF|Z1930	29.878	492	278	15	47	509	22	475	5.39e-59	200
PATRIC_VF|UTI89_C4921	PATRIC_VF|UTI89_C4921	100	1014	0	0	1	1014	1	1014	0	2067
PATRIC_VF|UTI89_C4921	VFDB|VFG001447	99.803	1014	2	0	1	1014	1	1014	0	2063
PATRIC_VF|ERDMAN_0711	PATRIC_VF|ERDMAN_0711	100	315	0	0	1	315	1	315	0	664
PATRIC_VF|ERDMAN_0711	PATRIC_VF|Rv0642c	100	301	0	0	15	315	1	301	0	634
PATRIC_VF|ERDMAN_0711	PATRIC_VF|ERDMAN_0712	60.41	293	116	0	18	310	5	297	3.4e-136	385
PATRIC_VF|ERDMAN_0711	PATRIC_VF|ERDMAN_0713	56.989	279	120	0	32	310	25	303	1.77e-116	335
PATRIC_VF|ERDMAN_0711	PATRIC_VF|BCG_0510c	55.556	279	124	0	32	310	9	287	7.45e-112	323
PATRIC_VF|ERDMAN_0711	PATRIC_VF|Rv0470c	55.556	279	124	0	32	310	9	287	7.45e-112	323
PATRIC_VF|ERDMAN_0711	PATRIC_VF|ERDMAN_0515	55.556	279	124	0	32	310	7	285	9.65e-112	323
PATRIC_VF|ERDMAN_0711	PATRIC_VF|ERDMAN_0514	54.244	271	124	0	26	296	2	272	3.66e-107	311
PATRIC_VF|ERDMAN_0711	PATRIC_VF|ERDMAN_0714	51.228	285	139	0	26	310	2	286	8.26e-104	303
PATRIC_VF|ERDMAN_0711	PATRIC_VF|ERDMAN_0552	50	294	140	1	24	310	9	302	6.22e-101	296
PATRIC_VF|ERLG_01291	PATRIC_VF|ERLG_01291	100	166	0	0	1	166	1	166	1.08e-120	335
PATRIC_VF|ERLG_01291	VFDB|VFG000889	98.795	166	2	0	1	166	11	176	1.43e-119	332
PATRIC_VF|ERLG_01291	PATRIC_VF|c3584	98.795	166	2	0	1	166	11	176	1.43e-119	332
PATRIC_VF|STM2501	PATRIC_VF|STM474_2604	100	688	0	0	1	688	1	688	0	1409
PATRIC_VF|STM2501	PATRIC_VF|STM2501	100	688	0	0	1	688	1	688	0	1409
PATRIC_VF|STM2501	PATRIC_VF|Rv2984	34.084	666	391	15	7	642	53	700	9.83e-114	356
PATRIC_VF|STM14_3462	PATRIC_VF|STM14_3462	100	278	0	0	1	278	1	278	0	575
PATRIC_VF|STM14_3462	VFDB|VFG000529	96.057	279	7	1	1	275	1	279	0	551
PATRIC_VF|STM14_3462	PATRIC_VF|SL1344_2845	95.699	279	7	2	1	275	1	278	0	545
PATRIC_VF|STM14_3462	VFDB|VFG000414	54.475	257	115	2	15	270	1	256	1.23e-98	288
PATRIC_VF|STM14_3462	VFDB|VFG007190	35.808	229	144	3	40	266	21	248	2.61e-38	133
PATRIC_VF|SL1344_2856	PATRIC_VF|STM14_3475	100	553	0	0	1	553	1	553	0	1144
PATRIC_VF|SL1344_2856	PATRIC_VF|SL1344_2856	100	553	0	0	1	553	1	553	0	1144
PATRIC_VF|lmo0540	PATRIC_VF|lmo0540	100	397	0	0	1	397	1	397	0	818
PATRIC_VF|STM0550	PATRIC_VF|SL1344_0543	100	240	0	0	1	240	1	240	3.52e-179	488
PATRIC_VF|STM0550	PATRIC_VF|STM14_0642	100	240	0	0	1	240	1	240	3.52e-179	488
PATRIC_VF|STM0550	PATRIC_VF|STM0550	100	240	0	0	1	240	1	240	3.52e-179	488
PATRIC_VF|CP0010	VFDB|VFG012812	100	239	0	0	1	239	1	239	0	497
PATRIC_VF|CP0010	PATRIC_VF|CP0010	100	239	0	0	1	239	1	239	0	497
PATRIC_VF|CP0010	VFDB|VFG000438	63.525	244	81	3	1	239	1	241	1.87e-108	310
PATRIC_VF|CP0010	PATRIC_VF|PSLT038	63.525	244	81	3	1	239	1	241	1.87e-108	310
PATRIC_VF|CP0010	PATRIC_VF|STM14_5561	63.525	244	81	3	1	239	1	241	1.87e-108	310
PATRIC_VF|Rv2391	PATRIC_VF|Rv2391	100	563	0	0	1	563	1	563	0	1153
PATRIC_VF|lmo1580	PATRIC_VF|lmo1580	100	154	0	0	1	154	1	154	4.65e-113	314
PATRIC_VF|lmo1580	PATRIC_VF|lmo2673	45.455	143	78	0	2	144	1	143	1.17e-45	144
PATRIC_VF|lmo1580	PATRIC_VF|lmo0515	44.755	143	79	0	2	144	1	143	3.11e-43	137
PATRIC_VF|Z3635	PATRIC_VF|Z3635	100	314	0	0	1	314	1	314	0	621
PATRIC_VF|Rv1290c	PATRIC_VF|Rv1290c	100	521	0	0	1	521	1	521	0	1049
PATRIC_VF|c4308	VFDB|VFG000917	100	648	0	0	1	648	1	648	0	1330
PATRIC_VF|c4308	PATRIC_VF|c4308	100	648	0	0	1	648	1	648	0	1330
PATRIC_VF|c4308	VFDB|VFG013064	99.383	648	4	0	1	648	13	660	0	1327
