	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
643661	NP_859390.1	VFDB|VFG000837	100.0	319	0	0	1	319	1	319	0.0	658.0
1268454	YP_006906860.1	PATRIC_VF|Z1464	100.0	319	0	0	1	319	1	319	0.0	658.0
1472957	NP_050539.1	PATRIC_VF|Z1464	100.0	319	0	0	1	319	1	319	0.0	658.0
443049	YP_009187357.1	VFDB|VFG000837	100.0	319	0	0	1	319	1	319	0.0	658.0
444245	YP_009187870.1	PATRIC_VF|Z1464	100.0	319	0	0	1	319	1	319	0.0	658.0
1082098	YP_794048.1	VFDB|VFG000837	100.0	319	0	0	1	319	1	319	0.0	658.0
1111288	YP_001648932.1	PATRIC_VF|Z1464	100.0	319	0	0	1	319	1	319	0.0	658.0
1268453	YP_006906860.1	VFDB|VFG000837	100.0	319	0	0	1	319	1	319	0.0	658.0
998642	NP_049500.1	VFDB|VFG000837	100.0	319	0	0	1	319	1	319	0.0	658.0
998643	NP_049500.1	PATRIC_VF|Z1464	100.0	319	0	0	1	319	1	319	0.0	658.0
1111287	YP_001648932.1	VFDB|VFG000837	100.0	319	0	0	1	319	1	319	0.0	658.0
1082099	YP_794048.1	PATRIC_VF|Z1464	100.0	319	0	0	1	319	1	319	0.0	658.0
443050	YP_009187357.1	PATRIC_VF|Z1464	100.0	319	0	0	1	319	1	319	0.0	658.0
1136142	YP_002274251.1	VFDB|VFG000837	99.687	319	1	0	1	319	1	319	0.0	657.0
1136143	YP_002274251.1	PATRIC_VF|Z1464	99.687	319	1	0	1	319	1	319	0.0	657.0
1028259	NP_795533.1	VFDB|VFG000967	86.486	370	49	1	1	369	1	370	0.0	649.0
1346043	YP_007237170.1	VFDB|VFG001277	99.679	312	1	0	4	315	1	312	0.0	640.0
421712	YP_001429894.1	VFDB|VFG001277	99.679	312	1	0	4	315	1	312	0.0	640.0
1355817	YP_007392406.1	VFDB|VFG001277	99.679	312	1	0	1	312	1	312	0.0	639.0
1159463	YP_002939732.1	VFDB|VFG001277	99.679	312	1	0	1	312	1	312	0.0	639.0
1135869	YP_002268029.1	VFDB|VFG001277	99.679	312	1	0	1	312	1	312	0.0	639.0
731901	NP_058465.1	VFDB|VFG001277	99.679	312	1	0	1	312	1	312	0.0	639.0
1011893	YP_001449320.1	VFDB|VFG045339	74.312	436	62	3	26	459	19	406	0.0	639.0
252781	YP_009103486.1	VFDB|VFG001277	99.679	312	1	0	1	312	1	312	0.0	639.0
1011551	YP_001449277.1	VFDB|VFG000835	100.0	315	0	0	1	315	1	315	0.0	636.0
455866	YP_009190546.1	PATRIC_VF|Z3344	100.0	315	0	0	1	315	1	315	0.0	636.0
455865	YP_009190546.1	VFDB|VFG000835	100.0	315	0	0	1	315	1	315	0.0	636.0
455864	YP_009190546.1	VFDB|VFG001828	100.0	315	0	0	1	315	1	315	0.0	636.0
1011552	YP_001449277.1	PATRIC_VF|Z3344	100.0	315	0	0	1	315	1	315	0.0	636.0
1011550	YP_001449277.1	VFDB|VFG001828	100.0	315	0	0	1	315	1	315	0.0	636.0
259869	YP_009100256.1	VFDB|VFG000835	100.0	315	0	0	1	315	1	315	0.0	636.0
259870	YP_009100256.1	PATRIC_VF|Z3344	100.0	315	0	0	1	315	1	315	0.0	636.0
693215	NP_859221.1	PATRIC_VF|Z3344	100.0	315	0	0	1	315	1	315	0.0	636.0
693214	NP_859221.1	VFDB|VFG000835	100.0	315	0	0	1	315	1	315	0.0	636.0
664242	YP_009226865.1	PATRIC_VF|Z3344	100.0	315	0	0	1	315	1	315	0.0	636.0
664241	YP_009226865.1	VFDB|VFG000835	100.0	315	0	0	1	315	1	315	0.0	636.0
664240	YP_009226865.1	VFDB|VFG001828	100.0	315	0	0	1	315	1	315	0.0	636.0
693213	NP_859221.1	VFDB|VFG001828	100.0	315	0	0	1	315	1	315	0.0	636.0
1136687	YP_002274175.1	PATRIC_VF|Z3344	100.0	315	0	0	1	315	1	315	0.0	636.0
1136686	YP_002274175.1	VFDB|VFG000835	100.0	315	0	0	1	315	1	315	0.0	636.0
1136685	YP_002274175.1	VFDB|VFG001828	100.0	315	0	0	1	315	1	315	0.0	636.0
259868	YP_009100256.1	VFDB|VFG001828	100.0	315	0	0	1	315	1	315	0.0	636.0
1055555	YP_398516.1	VFDB|VFG002289	34.302	1239	722	24	1	1179	1	1207	0.0	634.0
714	YP_008318506.1	VFDB|VFG000670	100.0	309	0	0	1	309	1	309	0.0	623.0
1032980	NP_543077.1	PATRIC_VF|Z1464	93.73	319	20	0	1	319	1	319	0.0	617.0
1032979	NP_543077.1	VFDB|VFG000837	93.73	319	20	0	1	319	1	319	0.0	617.0
943775	YP_009324885.1	VFDB|VFG001358	92.138	318	25	0	1	318	1	318	0.0	613.0
943776	YP_009324885.1	VFDB|VFG005334	91.824	318	26	0	1	318	1	318	0.0	612.0
1028260	NP_795533.1	VFDB|VFG000966	80.811	370	70	1	1	369	1	370	0.0	610.0
943392	YP_009324847.1	VFDB|VFG001358	91.195	318	28	0	1	318	1	318	0.0	608.0
925375	YP_009321952.1	VFDB|VFG005334	90.566	318	30	0	1	318	1	318	0.0	608.0
943393	YP_009324847.1	VFDB|VFG005334	90.881	318	29	0	1	318	1	318	0.0	608.0
925374	YP_009321952.1	VFDB|VFG001358	90.881	318	29	0	1	318	1	318	0.0	608.0
224627	YP_009043941.1	VFDB|VFG001358	90.881	318	29	0	1	318	1	318	0.0	608.0
224628	YP_009043941.1	VFDB|VFG005334	90.566	318	30	0	1	318	1	318	0.0	607.0
10986	YP_008798292.1	VFDB|VFG005334	90.881	318	29	0	1	318	1	318	0.0	607.0
10985	YP_008798292.1	VFDB|VFG001358	91.195	318	28	0	1	318	1	318	0.0	607.0
371892	YP_009147472.1	VFDB|VFG000670	97.712	306	7	0	1	306	1	306	0.0	605.0
288180	NP_599056.1	VFDB|VFG000670	98.039	306	6	0	1	306	1	306	0.0	603.0
929811	YP_009322665.1	VFDB|VFG001358	89.937	318	32	0	1	318	1	318	0.0	601.0
735476	NP_150182.1	VFDB|VFG001358	89.623	318	33	0	1	318	1	318	0.0	601.0
916251	YP_009320678.1	VFDB|VFG001358	89.937	318	32	0	1	318	1	318	0.0	601.0
927522	YP_009322331.1	VFDB|VFG001358	89.623	318	33	0	1	318	1	318	0.0	600.0
769578	YP_009276863.1	VFDB|VFG001358	89.623	318	33	0	1	318	1	318	0.0	600.0
929812	YP_009322665.1	VFDB|VFG005334	89.623	318	33	0	1	318	1	318	0.0	600.0
735477	NP_150182.1	VFDB|VFG005334	89.308	318	34	0	1	318	1	318	0.0	600.0
916252	YP_009320678.1	VFDB|VFG005334	89.623	318	33	0	1	318	1	318	0.0	600.0
927523	YP_009322331.1	VFDB|VFG005334	89.308	318	34	0	1	318	1	318	0.0	599.0
769579	YP_009276863.1	VFDB|VFG005334	89.308	318	34	0	1	318	1	318	0.0	599.0
924113	YP_009321772.1	VFDB|VFG001358	88.994	318	35	0	1	318	1	318	0.0	597.0
935492	YP_009323473.1	VFDB|VFG005334	88.679	318	36	0	1	318	1	318	0.0	597.0
1055556	YP_398516.1	VFDB|VFG002297	33.802	1210	741	23	8	1181	8	1193	0.0	597.0
935491	YP_009323473.1	VFDB|VFG001358	88.994	318	35	0	1	318	1	318	0.0	597.0
924114	YP_009321772.1	VFDB|VFG005334	88.679	318	36	0	1	318	1	318	0.0	597.0
1092045	YP_001294830.1	PATRIC_VF|lmo1769	41.578	748	410	9	24	765	12	738	0.0	582.0
8511	YP_008766890.1	VFDB|VFG000670	93.729	303	19	0	1	303	1	303	0.0	580.0
1034172	NP_945312.1	VFDB|VFG001358	85.849	318	43	1	1	316	1	318	0.0	578.0
1034173	NP_945312.1	VFDB|VFG005334	85.535	318	44	1	1	316	1	318	0.0	577.0
626040	YP_009204091.1	VFDB|VFG001800	100.0	280	0	0	1	280	1	280	0.0	570.0
626527	YP_009209190.1	VFDB|VFG001800	100.0	280	0	0	1	280	1	280	0.0	570.0
24045	YP_006383841.1	VFDB|VFG000670	89.439	303	32	0	1	303	1	303	0.0	562.0
694886	YP_001272536.1	VFDB|VFG035062	91.468	293	25	0	1	293	1	293	0.0	562.0
1473279	NP_720276.1	VFDB|VFG000670	88.779	303	34	0	16	318	1	303	0.0	560.0
694903	YP_001272537.1	VFDB|VFG042218	98.529	272	4	0	1	272	1	272	0.0	560.0
1196036	YP_004123761.1	VFDB|VFG000670	88.779	303	34	0	16	318	1	303	0.0	560.0
1141861	YP_002455838.1	VFDB|VFG000670	88.779	303	34	0	16	318	1	303	0.0	560.0
732372	YP_006358.1	VFDB|VFG000670	88.779	303	34	0	1	303	1	303	0.0	559.0
797732	YP_009279825.1	VFDB|VFG000670	88.449	303	35	0	16	318	1	303	0.0	559.0
747218	YP_009274645.1	VFDB|VFG000670	88.449	303	35	0	1	303	1	303	0.0	558.0
946425	YP_009325293.1	VFDB|VFG000670	88.449	303	35	0	1	303	1	303	0.0	558.0
1347535	YP_007237578.1	VFDB|VFG000670	87.748	302	37	0	34	335	1	302	0.0	552.0
17961	YP_008766957.1	VFDB|VFG043733	100.0	269	0	0	1	269	1	269	0.0	545.0
385417	YP_009152996.1	VFDB|VFG001358	80.818	318	59	1	1	316	1	318	0.0	545.0
385418	YP_009152996.1	VFDB|VFG005334	80.503	318	60	1	1	316	1	318	0.0	544.0
1096450	YP_001469223.1	VFDB|VFG000966	73.784	370	93	2	1	366	1	370	0.0	542.0
1029606	NP_795700.1	VFDB|VFG000967	75.135	370	54	2	1	333	1	369	0.0	541.0
287104	NP_795417.1	VFDB|VFG000967	75.135	370	54	2	1	333	1	369	0.0	541.0
1027696	NP_795487.1	VFDB|VFG000954	100.0	260	0	0	1	260	1	260	0.0	541.0
636641	YP_004286240.1	VFDB|VFG000107	100.0	258	0	0	1	258	1	258	0.0	539.0
287785	NP_700399.1	PATRIC_VF|SL1344_2113	75.224	335	83	0	1	335	14	348	0.0	534.0
287784	NP_700399.1	VFDB|VFG003982	75.224	335	83	0	1	335	14	348	0.0	534.0
1144218	YP_002533480.1	VFDB|VFG000670	86.424	302	41	0	1	302	1	302	0.0	532.0
420778	NP_438166.1	VFDB|VFG000953	100.0	259	0	0	1	259	1	259	0.0	529.0
1028580	NP_795602.1	VFDB|VFG000953	100.0	259	0	0	1	259	1	259	0.0	529.0
694887	YP_001272536.1	VFDB|VFG035073	84.488	303	37	1	1	293	1	303	0.0	529.0
1027801	NP_795478.1	VFDB|VFG000965	99.231	260	2	0	1	260	1	260	0.0	527.0
17985	YP_008766958.1	VFDB|VFG043732	100.0	258	0	0	1	258	1	258	0.0	524.0
252734	YP_009103482.1	VFDB|VFG001325	98.444	257	4	0	1	257	1	257	0.0	519.0
287105	NP_795417.1	VFDB|VFG000966	72.011	368	65	2	1	331	1	367	0.0	518.0
1029607	NP_795700.1	VFDB|VFG000966	72.011	368	65	2	1	331	1	367	0.0	518.0
1084797	YP_908847.1	VFDB|VFG001325	98.054	257	5	0	1	257	1	257	0.0	518.0
1055990	YP_398578.1	VFDB|VFG002296	100.0	251	0	0	1	251	1	251	0.0	517.0
1029049	NP_795658.1	VFDB|VFG000951	100.0	251	0	0	1	251	1	251	0.0	516.0
462682	YP_009191734.1	VFDB|VFG000951	99.602	251	1	0	1	251	1	251	0.0	515.0
1096451	YP_001469223.1	VFDB|VFG000965	71.858	366	74	2	1	366	1	337	0.0	507.0
293806	NP_061650.1	VFDB|VFG001276	80.0	320	64	0	3	322	1	320	0.0	506.0
421713	YP_001429894.1	VFDB|VFG001274	77.46	315	68	2	4	315	1	315	0.0	503.0
1346044	YP_007237170.1	VFDB|VFG001274	77.46	315	68	2	4	315	1	315	0.0	503.0
1159464	YP_002939732.1	VFDB|VFG001274	77.46	315	68	2	1	312	1	315	0.0	502.0
731902	NP_058465.1	VFDB|VFG001274	77.46	315	68	2	1	312	1	315	0.0	502.0
1135870	YP_002268029.1	VFDB|VFG001274	77.46	315	68	2	1	312	1	315	0.0	502.0
252782	YP_009103486.1	VFDB|VFG001274	77.46	315	68	2	1	312	1	315	0.0	502.0
1355818	YP_007392406.1	VFDB|VFG001274	77.46	315	68	2	1	312	1	315	0.0	502.0
420710	NP_438157.1	VFDB|VFG000966	67.838	370	86	3	1	337	1	370	1.73e-175	489.0
1028669	NP_795593.1	VFDB|VFG000966	67.838	370	86	3	1	337	1	370	1.73e-175	489.0
1096452	YP_001469223.1	VFDB|VFG000967	67.297	370	117	2	1	366	1	370	2.28e-175	489.0
1159481	YP_002939733.1	VFDB|VFG001275	72.05	322	90	0	1	322	3	324	1.31e-174	484.0
731919	NP_058466.1	VFDB|VFG001275	72.05	322	90	0	1	322	3	324	1.31e-174	484.0
1346059	YP_007237171.1	VFDB|VFG001275	72.05	322	90	0	1	322	3	324	1.31e-174	484.0
421728	YP_001429895.1	VFDB|VFG001275	72.05	322	90	0	1	322	3	324	1.31e-174	484.0
252799	YP_009103487.1	VFDB|VFG001275	72.05	322	90	0	1	322	3	324	1.31e-174	484.0
1135887	YP_002268030.1	VFDB|VFG001275	72.05	322	90	0	1	322	3	324	1.31e-174	484.0
1305666	YP_007007224.1	VFDB|VFG000080	41.335	629	301	11	162	730	78	698	1.29e-161	483.0
1355835	YP_007392407.1	VFDB|VFG001275	71.739	322	91	0	1	322	3	324	5.25e-174	483.0
361910	YP_009153153.1	VFDB|VFG000080	41.335	629	301	11	41	609	78	698	8.37e-163	481.0
1305667	YP_007007224.1	VFDB|VFG000079	38.988	672	336	9	155	754	136	805	1.98e-159	480.0
1383306	YP_007674420.1	VFDB|VFG002225	68.862	334	96	2	2	327	3	336	2.63e-172	480.0
361911	YP_009153153.1	VFDB|VFG000079	38.988	672	336	9	34	633	136	805	1.28e-160	479.0
1136344	YP_002274277.1	PATRIC_VF|Z2142	97.845	232	5	0	1	232	1	232	5.13e-174	475.0
359959	YP_009150853.1	VFDB|VFG000080	42.295	610	288	10	179	728	93	698	8.12e-159	475.0
241759	YP_009102168.1	VFDB|VFG000080	42.295	610	288	10	179	728	93	698	8.12e-159	475.0
324420	YP_009134434.1	VFDB|VFG002365	65.116	344	99	4	2	328	3	342	1.03e-169	474.0
1383307	YP_007674420.1	VFDB|VFG002365	65.607	346	97	3	1	328	1	342	4.88e-170	474.0
1011790	YP_001449306.1	PATRIC_VF|Z2142	97.414	232	6	0	1	232	1	232	6.68e-173	472.0
241760	YP_009102168.1	VFDB|VFG000079	39.474	646	317	8	179	752	162	805	4.76e-156	471.0
359960	YP_009150853.1	VFDB|VFG000079	39.474	646	317	8	179	752	162	805	4.76e-156	471.0
293807	NP_061650.1	VFDB|VFG001275	69.876	322	97	0	1	322	1	322	1.45e-168	469.0
1136861	YP_002274200.1	PATRIC_VF|Z2142	96.552	232	8	0	1	232	1	232	3.71e-171	468.0
963319	YP_008051028.1	PATRIC_VF|Rv1981c	69.968	313	94	0	5	317	10	322	5.54e-168	467.0
324421	YP_009134434.1	VFDB|VFG002225	66.867	332	103	1	3	327	5	336	4.12e-166	464.0
933049	YP_009323158.1	VFDB|VFG002225	65.97	335	107	1	2	329	3	337	9.01e-166	463.0
1028670	NP_795593.1	VFDB|VFG000967	64.324	370	99	3	1	337	1	370	5.24e-165	462.0
420711	NP_438157.1	VFDB|VFG000967	64.324	370	99	3	1	337	1	370	5.24e-165	462.0
746551	YP_009274547.1	PATRIC_VF|Rv1981c	68.91	312	97	0	6	317	11	322	1.23e-165	461.0
1028261	NP_795533.1	VFDB|VFG000965	62.602	369	106	2	1	369	1	337	4.65e-163	457.0
163810	YP_006987334.1	VFDB|VFG000080	40.1	601	297	9	191	732	93	689	2.85e-151	456.0
163811	YP_006987334.1	VFDB|VFG000079	39.225	645	319	10	191	764	162	804	3e-148	451.0
287106	NP_795417.1	VFDB|VFG000965	66.667	342	99	3	1	333	1	336	3.51e-161	451.0
1029608	NP_795700.1	VFDB|VFG000965	66.667	342	99	3	1	333	1	336	3.51e-161	451.0
1092233	YP_001429750.1	PATRIC_VF|Rv0949	37.537	682	363	14	17	654	18	680	1.92e-150	451.0
933050	YP_009323158.1	VFDB|VFG002365	61.85	346	115	2	1	329	1	346	1.83e-160	450.0
1037864	YP_214488.1	VFDB|VFG002225	64.583	336	111	2	1	328	1	336	3.33e-160	449.0
1125453	YP_002225133.1	PATRIC_VF|Rv1981c	66.773	313	104	0	10	322	10	322	7.1e-161	449.0
1037865	YP_214488.1	VFDB|VFG002365	62.029	345	114	3	1	328	1	345	2.49e-157	442.0
252735	YP_009103482.1	VFDB|VFG001808	82.879	257	44	0	1	257	1	257	1.79e-158	437.0
1084798	YP_908847.1	VFDB|VFG001808	82.879	257	44	0	1	257	1	257	2.43e-158	437.0
1011803	YP_001449308.1	PATRIC_VF|Z2144	95.089	224	11	0	1	224	1	224	1.67e-159	437.0
636642	YP_004286240.1	VFDB|VFG002037	79.07	258	54	0	1	258	1	258	6.03e-158	436.0
1136363	YP_002274280.1	PATRIC_VF|Z2144	93.75	224	14	0	1	224	1	224	2.37e-157	432.0
1136886	YP_002274203.1	PATRIC_VF|Z2144	93.304	224	15	0	1	224	1	224	5.78e-156	429.0
293792	NP_061649.1	VFDB|VFG001277	67.628	312	97	1	1	308	1	312	1.7e-152	427.0
1383308	YP_007674420.1	VFDB|VFG000321	58.074	353	122	2	2	328	4	356	3.66e-149	422.0
324422	YP_009134434.1	VFDB|VFG000321	57.507	353	125	2	3	330	6	358	3.93e-149	422.0
252783	YP_009103486.1	VFDB|VFG001273	65.806	310	99	3	1	309	1	304	2.57e-150	421.0
1346045	YP_007237170.1	VFDB|VFG001273	65.806	310	99	3	4	312	1	304	3.41e-150	421.0
1135871	YP_002268029.1	VFDB|VFG001273	65.806	310	99	3	1	309	1	304	2.57e-150	421.0
731903	NP_058465.1	VFDB|VFG001273	65.806	310	99	3	1	309	1	304	2.57e-150	421.0
421714	YP_001429894.1	VFDB|VFG001273	65.806	310	99	3	4	312	1	304	3.41e-150	421.0
1159465	YP_002939732.1	VFDB|VFG001273	65.806	310	99	3	1	309	1	304	2.57e-150	421.0
1355819	YP_007392406.1	VFDB|VFG001273	65.806	310	99	3	1	309	1	304	2.57e-150	421.0
1027193	NP_835571.1	VFDB|VFG001808	78.599	257	55	0	4	260	1	257	1.38e-150	418.0
336553	YP_009113107.1	VFDB|VFG001808	78.599	257	55	0	30	286	1	257	3.08e-150	418.0
293793	NP_061649.1	VFDB|VFG001273	65.686	306	102	3	1	305	1	304	3.14e-148	416.0
933051	YP_009323158.1	VFDB|VFG000321	56.657	353	128	2	2	329	4	356	1.47e-143	408.0
1037866	YP_214488.1	VFDB|VFG000321	59.155	355	120	3	2	331	4	358	1.22e-143	408.0
1027194	NP_835571.1	VFDB|VFG001325	77.432	257	58	0	4	260	1	257	5.71e-146	406.0
336554	YP_009113107.1	VFDB|VFG001325	77.432	257	58	0	30	286	1	257	1.67e-145	406.0
639709	YP_009012397.1	PATRIC_VF|SL1344_2072	65.505	287	96	1	2	288	5	288	7.11e-142	398.0
293794	NP_061649.1	VFDB|VFG001274	65.714	315	101	3	1	308	1	315	3.02e-140	396.0
1331683	YP_007111792.1	PATRIC_VF|Z2142	76.724	232	54	0	1	232	1	232	5.15e-139	386.0
1336930	YP_007112556.1	PATRIC_VF|Z2142	76.724	232	54	0	1	232	1	232	5.15e-139	386.0
1082129	YP_794050.1	PATRIC_VF|Z5905	56.875	320	134	2	73	392	5	320	6.38e-131	385.0
1333729	YP_007112089.1	PATRIC_VF|Z2142	76.293	232	55	0	1	232	1	232	7.15e-138	383.0
694827	YP_001272528.1	PATRIC_VF|Z2142	76.293	232	55	0	1	232	1	232	7.15e-138	383.0
1136713	YP_002274178.1	PATRIC_VF|Z5905	55.247	324	141	2	55	378	1	320	4.68e-129	380.0
287786	NP_700399.1	VFDB|VFG004016	60.328	305	119	1	30	334	29	331	1.81e-133	380.0
47608	YP_009008593.1	VFDB|VFG022019	40.77	623	324	12	7	622	41	625	1.76e-123	377.0
436529	YP_009180932.1	PATRIC_VF|Z5905	55.901	322	136	4	73	393	5	321	1.32e-127	377.0
443080	YP_009187359.1	PATRIC_VF|Z5905	55.901	322	136	4	73	393	5	321	1.32e-127	377.0
1268493	YP_006906864.1	PATRIC_VF|Z5905	55.901	322	136	4	73	393	5	321	1.44e-127	377.0
1281693	YP_007001458.1	PATRIC_VF|Z5905	55.901	322	136	4	73	393	5	321	1.73e-127	377.0
1472987	NP_050541.1	PATRIC_VF|Z5905	55.901	322	136	4	73	393	5	321	1.85e-127	376.0
1111318	YP_001648934.1	PATRIC_VF|Z5905	55.901	322	136	4	73	393	5	321	4.54e-127	375.0
998673	NP_049502.1	PATRIC_VF|Z5905	55.901	322	136	4	73	393	5	321	4.54e-127	375.0
406079	YP_009168140.1	PATRIC_VF|Z5905	55.901	322	136	4	73	393	5	321	4.54e-127	375.0
1137654	YP_001700596.1	PATRIC_VF|Z2142	75.0	232	58	0	1	232	1	232	9.18e-135	375.0
664263	YP_009226867.1	PATRIC_VF|Z5905	55.901	322	136	4	73	393	5	321	3.65e-127	375.0
1011578	YP_001449280.1	PATRIC_VF|Z5905	55.215	326	140	4	69	393	1	321	8.49e-127	375.0
1136171	YP_002274254.1	PATRIC_VF|Z5905	54.908	326	141	4	69	393	1	321	1.97e-126	374.0
455891	YP_009190549.1	PATRIC_VF|Z5905	55.452	321	137	4	75	394	6	321	1.41e-125	372.0
693244	NP_859224.1	PATRIC_VF|Z5905	54.908	326	141	4	72	396	1	321	1.2e-125	372.0
643692	NP_859392.1	PATRIC_VF|Z5905	55.901	322	136	4	73	393	5	321	4.98e-126	372.0
259895	YP_009100259.1	PATRIC_VF|Z5905	55.452	321	137	4	75	394	6	321	7.51e-126	372.0
444217	YP_009187868.1	PATRIC_VF|Z5905	55.901	322	136	4	73	393	5	321	1.81e-128	372.0
639737	YP_009012398.1	PATRIC_VF|STM14_2591	53.936	343	142	3	1	327	1	343	2.77e-129	370.0
8663	YP_008766909.1	PATRIC_VF|Z2056	54.63	324	128	2	27	331	4	327	7.08e-129	369.0
288362	NP_599077.1	PATRIC_VF|Z2056	54.321	324	129	2	1	305	4	327	8.13e-129	367.0
1334011	YP_007112123.1	PATRIC_VF|Z2056	54.321	324	129	2	25	329	4	327	2.87e-128	367.0
17972	YP_008766956.1	VFDB|VFG043734	98.895	181	2	0	1	181	1	181	5.75e-133	367.0
1096516	YP_001469233.1	VFDB|VFG000956	56.364	330	138	3	3	326	1	330	6.73e-128	366.0
858	YP_008318525.1	PATRIC_VF|Z2056	54.321	324	129	2	25	329	4	327	6.73e-128	366.0
1358270	YP_007348470.1	PATRIC_VF|SL1344_2072	60.9	289	110	1	2	290	5	290	8.91e-129	365.0
1029531	NP_795709.1	VFDB|VFG000956	56.024	332	140	3	1	326	1	332	2.92e-127	364.0
695129	YP_001272564.1	PATRIC_VF|Z2056	53.704	324	131	2	1	305	4	327	5.4e-127	363.0
287787	NP_700399.1	VFDB|VFG034932	58.306	307	122	2	30	334	27	329	5.28e-126	361.0
1136420	YP_002274286.1	VFDB|VFG035043	98.837	172	2	0	1	172	41	212	3.73e-129	358.0
1352400	YP_007006794.1	PATRIC_VF|SL1344_2072	60.345	290	113	2	4	292	2	290	5.26e-126	358.0
943335	YP_009324838.1	PATRIC_VF|Z2056	52.16	324	136	2	25	329	4	327	6.76e-124	356.0
1138123	YP_001700689.1	VFDB|VFG000463	100.0	177	0	0	1	177	1	177	2.73e-128	355.0
1138124	YP_001700689.1	PATRIC_VF|SEN1149	100.0	177	0	0	1	177	1	177	2.73e-128	355.0
1138126	YP_001700689.1	PATRIC_VF|STM14_1184	100.0	177	0	0	1	177	1	177	2.73e-128	355.0
1138125	YP_001700689.1	PATRIC_VF|STM1044	100.0	177	0	0	1	177	1	177	2.73e-128	355.0
1027802	NP_795478.1	VFDB|VFG000966	63.14	293	75	3	1	260	1	293	1.26e-123	354.0
1358297	YP_007348471.1	PATRIC_VF|STM14_2591	50.146	343	150	6	1	325	1	340	1.85e-122	353.0
1027803	NP_795478.1	VFDB|VFG000967	62.799	293	76	3	1	260	1	293	5.74e-123	352.0
1111931	YP_001700577.1	PATRIC_VF|Z2142	69.264	231	71	0	1	231	1	231	1.26e-124	350.0
643664	NP_859390.1	VFDB|VFG000835	54.808	312	140	1	1	311	1	312	1.39e-121	349.0
1268457	YP_006906860.1	PATRIC_VF|Z3344	54.808	312	140	1	1	311	1	312	1.39e-121	349.0
643663	NP_859390.1	VFDB|VFG001828	54.808	312	140	1	1	311	1	312	1.39e-121	349.0
436502	YP_009180930.1	PATRIC_VF|Z3344	54.808	312	140	1	1	311	1	312	1.39e-121	349.0
664244	YP_009226865.1	PATRIC_VF|Z1464	54.808	312	140	1	1	312	1	311	1.37e-121	349.0
1268455	YP_006906860.1	VFDB|VFG001828	54.808	312	140	1	1	311	1	312	1.39e-121	349.0
643665	NP_859390.1	PATRIC_VF|Z3344	54.808	312	140	1	1	311	1	312	1.39e-121	349.0
1472958	NP_050539.1	VFDB|VFG001828	54.808	312	140	1	1	311	1	312	1.39e-121	349.0
443053	YP_009187357.1	PATRIC_VF|Z3344	54.808	312	140	1	1	311	1	312	1.39e-121	349.0
1268456	YP_006906860.1	VFDB|VFG000835	54.808	312	140	1	1	311	1	312	1.39e-121	349.0
1111291	YP_001648932.1	PATRIC_VF|Z3344	54.808	312	140	1	1	311	1	312	1.39e-121	349.0
455868	YP_009190546.1	PATRIC_VF|Z1464	54.808	312	140	1	1	312	1	311	1.37e-121	349.0
